456;828
13;691
442;698
381;384
637;159
838;902
790;176
208;746
94;898
528;812
324;756
148;636
406;761
557;338
756;127
984;798
308;830
684;796
546;149
596;766
943;778
576;521
916;218
767;860
724;639
484;233
212;606
93;699
680;377
284;680
140;43
628;509
175;40
594;960
491;411
200;944
302;761
868;545
179;626
719;188
994;696
614;116
643;751
585;701
736;984
116;168
864;915
626;900
149;67
346;876
624;807
369;312
439;539
930;451
738;548
520;53
657;96
686;443
428;512
866;423
454;892
223;506
294;31
80;386
135;968
396;112
280;843
564;186
327;302
676;103
820;134
963;188
464;62
511;768
229;182
471;637
201;922
421;731
583;863
17;408
459;544
315;769
151;408
773;814
531;499
116;126
835;762
603;320
929;35
41;232
520;311
156;953
496;758
910;357
421;833
603;464
284;268
643;276
818;193
36;56
289;696
237;730
65;345
802;438
319;100
801;547
821;785
888;148
387;362
272;393
497;415
392;698
896;651
842;566
119;326
502;735
999;984
943;823
74;426
887;151
955;471
38;321
31;55
643;499
380;495
888;455
920;642
558;873
304;539
834;414
502;235
319;992
598;66
547;836
842;64
74;960
474;121
437;26
377;71
666;840
8;343
186;624
438;46
815;357
425;69
519;535
592;473
648;720
152;45
723;965
507;806
656;315
421;928
980;799
204;532
496;233
872;993
405;159
49;695
554;551
251;190
411;772
545;538
368;1
472;717
873;331
348;701
333;202
686;871
203;510
66;15
152;893
573;285
662;599
68;488
670;457
490;171
714;316
394;884
769;882
559;979
326;487
658;164
885;171
660;202
473;178
491;44
485;235
38;518
199;259
876;769
933;983
46;416
841;176
986;16
807;802
101;321
950;86
688;664
234;408
400;491
938;865
15;492
965;446
686;479
278;876
684;510
6;790
46;343
440;242
323;708
184;644
395;671
77;170
94;398
546;373
283;790
858;384
830;67
968;554
451;394
489;507
738;930
117;591
315;159
40;345
224;992
85;692
307;294
470;343
415;794
352;288
932;904
593;893
651;621
960;978
374;886
790;928
219;676
905;464
553;485
855;935
357;200
149;291
705;166
77;535
597;624
138;656
42;201
574;833
337;224
939;693
198;61
970;337
201;156
472;630
388;5
790;929
939;417
930;731
755;301
188;484
544;424
381;750
747;134
886;17
101;72
127;329
546;161
736;296
229;811
90;548
693;447
147;591
834;209
716;625
271;843
78;35
35;455
149;774
680;220
590;66
270;455
528;316
878;460
383;777
680;633
502;943
211;640
790;97
277;789
916;538
417;261
745;258
993;91
293;90
12;962
615;9
221;23
277;238
919;831
712;373
825;938
944;637
341;135
823;395
664;52
496;890
303;51
648;9
710;269
322;787
166;292
765;718
18;492
721;188
362;552
178;445
76;543
712;479
316;107
917;858
267;898
426;960
465;724
706;169
374;268
528;649
508;925
206;533
173;226
619;848
413;635
33;111
874;50
814;760
339;169
692;602
351;463
519;268
865;804
252;293
786;552
814;93
24;528
937;151
336;178
305;90
488;69
445;632
864;314
86;414
910;945
830;204
575;925
298;44
